Feature,Importance,|SHAP value|
SaleCondition_Family,0.00037491535905744835,117.36764653244629
LotConfig_FR2,0.00032011870720352056,183.78041490713298
SaleCondition_Abnorml,0.0003172935027472401,116.83534967052556
LotConfig_CulDSac,0.0003170085057329075,193.46271398769997
Neighborhood_SawyerW,0.00031094259239443643,154.88317559921245
BsmtFinType2,0.0003055479456582688,146.2986633265921
GarageCond,0.0003011089805252776,390.0781206581042
RoofMatl_CompShg,0.00030048162733149476,102.76586880214542
BsmtFinSF2,0.0002756749379018597,139.66425227263926
GarageType_Detchd,0.0002751221799133119,501.1262821955049
Neighborhood_NAmes,0.0002665473023769738,209.35324238890402
CentralAir_N,0.00026189829889876614,386.92506638394286
GarageType_Attchd,0.0002109044104337654,64.06873735846406
KitchenAbvGr,0.00021055231540210163,104.51450950976374
LandSlope,0.000198348104319368,106.3126715376981
EnclosedPorch,0.00019336402040517341,93.90816937691854
HouseStyle_1Story,0.0001929186651647208,322.2498012513099
GarageType_BuiltIn,0.0001822123346125859,41.57918669535032
Exterior1st_CemntBd,0.0001791977081539109,36.531907398092635
LandContour_HLS,0.00017870710531250333,96.070483603503
Condition1_Artery,0.0001709014609780346,142.06136270161412
Neighborhood_CollgCr,0.00017060208746835225,81.07463790595283
Neighborhood_ClearCr,0.00016800407979623567,111.79834812815531
SaleType_New,0.00015305037074696547,73.85494841668466
Condition1_PosN,0.0001318613374457933,38.99979359636153
TotRmsAbvGrd,0.00012901273123296919,108.56556125297806
Condition1_PosA,0.00012758005839538233,61.703009333913904
Neighborhood_OldTown,0.00012113472093964184,160.90803997286818
MSSubClass_30,0.0001124612767702926,154.54992284083994
MasVnrType_BrkFace,0.00010709213819064534,19.999308561883396
LotConfig_Inside,0.00010477994052116024,28.79489465952322
BsmtHalfBath,9.877628606738131e-05,34.787827578186125
RoofStyle_Gable,9.248420770282539e-05,27.16918859532176
LowQualFinSF,8.778169704206639e-05,61.84889655099963
BsmtCond,8.27271019925191e-05,79.23821164681051
LotShape,8.059490144959324e-05,22.175586727305383
SaleType_WD ,7.685071397632859e-05,37.69120005097529
Neighborhood_NWAmes,7.419569493750666e-05,27.53230718946055
MSSubClass_85,7.084081750177162e-05,47.79954280042111
RoofStyle_Hip,7.077772986646691e-05,29.882009947165844
MSZoning_FV,6.619769556477361e-05,75.3354256184296
Condition1_Feedr,6.59031043370728e-05,30.96283451428331
ExterCond,6.359985563165748e-05,46.21321407137025
LandContour_Lvl,5.7594001319694053e-05,42.94969010299371
YrSold,5.60177278197238e-05,30.741111211131276
MasVnrType_Stone,5.068000679891993e-05,9.316993335495845
Exterior1st_HdBoard,4.401698064783188e-05,29.010909595252112
MSSubClass_120,4.135384399654996e-05,33.580164494071326
Foundation_CBlock,4.0825364282626175e-05,14.902238096419586
Exterior1st_MetalSd,3.947263621475461e-05,14.229500726807789
Exterior1st_VinylSd,3.942831589899276e-05,12.91643501651621
BldgType_Duplex,3.746296077302702e-05,27.710963115932515
PavedDrive,3.708855257766874e-05,128.72132890289507
Foundation_Slab,3.668998491600517e-05,19.56890083777149
MSZoning_RM,3.132978961880584e-05,67.45975445457167
LandContour_Low,3.070978226524801e-05,19.762096424940356
Exterior2nd_MetalSd,2.779484292104728e-05,17.660386994666293
Condition1_RRAe,1.812319885712288e-05,11.931167150331524
MSSubClass_50,1.6980573448166502e-05,26.376300155670613
Exterior1st_AsbShng,1.6706132221266934e-05,16.741823394008804
Condition2_Norm,1.6534782287569438e-05,5.870115257572377
LotConfig_Corner,1.5939053035796123e-05,11.249248041731105
SaleType_COD,1.5452449893693653e-05,16.79492707030108
Alley_Pave,1.4365110255765146e-05,13.021858983027544
Exterior2nd_HdBoard,1.3419491743693613e-05,13.702889290959565
Neighborhood_Timber,1.334061062108205e-05,8.873329094517977
Foundation_BrkTil,1.1783285401578691e-05,35.16062465265605
MSZoning_C (all),1.0014096640731385e-05,11.073617101861473
